,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description
0,0,Provideniya,64.3833,-173.3,51.91,66,75,11.18,RU,2022-09-08 02:36:51,broken clouds
3,3,Havoysund,70.9963,24.6622,48.43,95,100,24.27,NO,2022-09-08 02:36:52,overcast clouds
5,5,Barrow,71.2906,-156.7887,41.02,87,100,10.36,US,2022-09-08 02:36:53,overcast clouds
6,6,Albany,42.6001,-73.9662,62.67,93,34,2.59,US,2022-09-08 02:36:30,scattered clouds
10,10,Puerto Ayora,-0.7393,-90.3518,68.56,93,99,7.0,EC,2022-09-08 02:36:55,overcast clouds
12,12,Port Elizabeth,-33.918,25.5701,58.32,89,0,6.91,ZA,2022-09-08 02:36:56,clear sky
14,14,Narimanov,46.6927,47.8498,48.11,47,3,2.24,RU,2022-09-08 02:36:57,clear sky
16,16,Port Alfred,-33.5906,26.891,59.86,85,6,2.35,ZA,2022-09-08 02:36:58,clear sky
23,23,Hermanus,-34.4187,19.2345,53.8,86,5,7.16,ZA,2022-09-08 02:37:01,clear sky
27,27,Tasiilaq,65.6145,-37.6368,41.16,99,100,1.01,GL,2022-09-08 02:37:04,light rain
32,32,Los Llanos De Aridane,28.6585,-17.9182,67.75,85,0,10.36,ES,2022-09-08 02:37:06,clear sky
33,33,Bluff,-46.6,168.3333,50.81,58,50,2.82,NZ,2022-09-08 02:37:07,scattered clouds
34,34,Busselton,-33.65,115.3333,56.79,67,100,7.14,AU,2022-09-08 02:37:07,overcast clouds
36,36,Arraial Do Cabo,-22.9661,-42.0278,68.05,80,0,28.12,BR,2022-09-08 02:37:08,clear sky
39,39,Copiapo,-27.3667,-70.3333,49.69,78,100,2.39,CL,2022-09-08 02:32:52,overcast clouds
40,40,Esmeraldas,-19.7625,-44.3139,62.91,77,0,6.76,BR,2022-09-08 02:37:11,clear sky
41,41,Saint-Philippe,-21.3585,55.7679,69.39,80,45,10.6,RE,2022-09-08 02:37:11,scattered clouds
42,42,Ancud,-41.8697,-73.8203,42.22,91,99,2.13,CL,2022-09-08 02:37:12,light rain
45,45,Luau,-10.7073,22.2247,65.68,27,1,5.14,AO,2022-09-08 02:37:13,clear sky
46,46,Grande Prairie,55.1667,-118.8027,57.38,51,75,20.71,CA,2022-09-08 02:37:14,broken clouds
47,47,Saint-Augustin,51.226,-58.6502,55.56,70,99,5.46,CA,2022-09-08 02:37:14,overcast clouds
48,48,Mataura,-46.1927,168.8643,50.49,60,38,0.38,NZ,2022-09-08 02:38:15,scattered clouds
