,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
0,Provideniya,RU,51.91,broken clouds,64.3833,-173.3,Hotel MX congreso
3,Havoysund,NO,48.43,overcast clouds,70.9963,24.6622,Havøysund Hotel & Rorbuer
5,Barrow,US,41.02,overcast clouds,71.2906,-156.7887,Top of the World Hotel
6,Albany,US,62.67,scattered clouds,42.6001,-73.9662,Western Motel
10,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Hotel Eden
12,Port Elizabeth,ZA,58.32,clear sky,-33.918,25.5701,The Monument Guesthouse
14,Narimanov,RU,48.11,clear sky,46.6927,47.8498,Solnechnyi
16,Port Alfred,ZA,59.86,clear sky,-33.5906,26.891,MyPond Hotel
23,Hermanus,ZA,53.8,clear sky,-34.4187,19.2345,Harbour House Hotel
27,Tasiilaq,GL,41.16,light rain,65.6145,-37.6368,Hotel Angmagssalik
32,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Hotel Hacienda de Abajo
33,Bluff,NZ,50.81,scattered clouds,-46.6,168.3333,Foveaux Hotel
34,Busselton,AU,56.79,overcast clouds,-33.65,115.3333,Esplanade Hotel
36,Arraial Do Cabo,BR,68.05,clear sky,-22.9661,-42.0278,Hotel Miramar
39,Copiapo,CL,49.69,overcast clouds,-27.3667,-70.3333,Hotel Centro
40,Esmeraldas,BR,62.91,clear sky,-19.7625,-44.3139,OYO Hotel Economy
41,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,Hôtel L'Ecrin
42,Ancud,CL,42.22,light rain,-41.8697,-73.8203,Hotel Balai
45,Luau,AO,65.68,clear sky,-10.7073,22.2247,Kimbo Hotel
46,Grande Prairie,CA,57.38,broken clouds,55.1667,-118.8027,Super 8 Grande Prairie
47,Saint-Augustin,CA,55.56,overcast clouds,51.226,-58.6502,hotel
48,Mataura,NZ,50.49,scattered clouds,-46.1927,168.8643,Southland Organic Farmstay
49,Nikolskoye,RU,45.79,broken clouds,59.7035,30.7861,Gostinitsa
50,Cape Town,ZA,56.91,clear sky,-33.9258,18.4232,Mojo Hotel
51,Yulara,AU,68.97,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
54,Chongwe,ZM,60.58,clear sky,-15.3292,28.682,Chaminuka Lodge
56,Dumbrava,RO,62.65,few clouds,44.8833,26.1833,Hotel Sym
57,Port Hardy,CA,60.98,few clouds,50.6996,-127.4199,Airport Inn-Port Hardy
61,Iqaluit,CA,42.53,broken clouds,63.7506,-68.5145,Aqsarniit Hotel & Conference Centre
65,Huarmey,PE,60.78,few clouds,-10.0681,-78.1522,Hotel Cordialidad
66,Mar Del Plata,AR,59.95,clear sky,-38.0023,-57.5575,Hotel Bagu Playa Grande
69,Cherskiy,RU,60.75,overcast clouds,68.75,161.3,Hotel MX congreso
70,Marica,BR,69.71,clear sky,-22.9194,-42.8186,Pousada Bela Vista Maricá 21-96738-8968
72,Bethel,US,68.36,overcast clouds,41.3712,-73.414,La Quinta Inn & Suites by Wyndham Danbury
79,Thompson,CA,59.16,overcast clouds,55.7435,-97.8558,Days Inn & Suites by Wyndham Thompson
80,Saskylakh,RU,40.08,broken clouds,71.9167,114.0833,Hotel MX congreso
82,Derzhavinsk,KZ,54.05,overcast clouds,51.1,66.3167,Gostinitsa Galaktika
85,Roald,NO,54.75,overcast clouds,62.5833,6.1333,Aalesund Airport Hotel
86,Quatre Cocos,MU,68.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
87,Constitucion,CL,46.98,overcast clouds,-35.3333,-72.4167,Casa Hotel Trocha Angosta
89,Cervo,ES,64.94,overcast clouds,43.6702,-7.4101,Hotel Palacio de Cristal
90,Bredasdorp,ZA,47.07,scattered clouds,-34.5322,20.0403,Arniston Spa Hotel
91,Mahebourg,MU,68.29,broken clouds,-20.4081,57.7,Astroea Beach Mauritius
92,Coquimbo,CL,53.33,overcast clouds,-29.9533,-71.3436,Hotel San Juan
100,Vestmannaeyjar,IS,53.47,overcast clouds,63.4427,-20.2734,Hotel Vestmannaeyjar
101,Puerto Leguizamo,CO,69.94,broken clouds,-0.1934,-74.7819,Hotel San Pedro Plaza
104,Jamestown,US,64.18,overcast clouds,42.097,-79.2353,Chautauqua Harbor Hotel
105,Fortuna,US,65.91,few clouds,40.5982,-124.1573,Bear River Casino Resort
112,Hobart,AU,58.86,broken clouds,-42.8794,147.3294,Hobart Central YHA
113,Castro,BR,55.71,clear sky,-24.7911,-50.0119,Hotel Buganville Express
114,Almaznyy,RU,46.69,clear sky,48.0448,40.045,Gostinitsa Zverevo
115,Bure,ET,55.0,light rain,10.7,37.0667,Addis Amba Pension & Garden
116,Asau,RO,49.28,few clouds,46.4333,26.4,"Hotel ""Bradul""(inchis pentru renovare)"
117,Nome,US,53.17,clear sky,64.5011,-165.4064,Aurora Inn & Suites
118,Vila Velha,BR,67.95,few clouds,-20.3297,-40.2925,Hotel Plaza Mar
