City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description
0,Ancud,-41.8697,-73.8203,50.23,79,100,6.89,CL,2022-09-11 18:00:19,overcast clouds
1,Jumla,29.2747,82.1838,61.02,94,97,0.58,NP,2022-09-11 18:00:19,overcast clouds
2,Kurtamysh,54.9103,64.4319,44.71,81,80,6.96,RU,2022-09-11 18:00:20,broken clouds
3,Ushuaia,-54.8,-68.3,42.46,75,40,23.02,AR,2022-09-11 17:58:03,scattered clouds
4,Bluff,-46.6,168.3333,45.93,74,100,12.26,NZ,2022-09-11 18:00:21,overcast clouds
5,Lompoc,34.6391,-120.4579,83.7,67,94,4.0,US,2022-09-11 18:00:21,overcast clouds
6,Punta Arenas,-53.15,-70.9167,48.31,43,40,42.57,CL,2022-09-11 17:57:16,scattered clouds
7,Busselton,-33.65,115.3333,55.6,82,31,4.36,AU,2022-09-11 18:00:22,scattered clouds
8,Mataura,-46.1927,168.8643,41.27,79,100,2.53,NZ,2022-09-11 18:00:23,overcast clouds
9,Abu Dhabi,24.4667,54.3667,91.42,72,0,4.61,AE,2022-09-11 17:57:46,clear sky
10,Waingapu,-9.6567,120.2641,74.89,83,27,6.35,ID,2022-09-11 18:00:23,scattered clouds
11,Atuona,-9.8,-139.0333,76.82,69,8,18.48,PF,2022-09-11 18:00:24,clear sky
12,Port Macquarie,-31.4333,152.9167,48.88,78,97,4.7,AU,2022-09-11 18:00:24,overcast clouds
13,Berlevag,70.8578,29.0864,42.8,93,100,1.14,NO,2022-09-11 18:00:24,overcast clouds
14,Cidreira,-30.1811,-50.2056,57.51,58,6,7.58,BR,2022-09-11 18:00:25,clear sky
15,Ponta Do Sol,32.6667,-17.1,79.72,84,100,9.8,PT,2022-09-11 18:00:25,overcast clouds
16,Boulder,40.0833,-105.3505,69.3,50,0,3.44,US,2022-09-11 18:00:26,clear sky
17,Jamestown,42.097,-79.2353,68.18,59,100,1.99,US,2022-09-11 18:00:26,overcast clouds
18,Los Llanos De Aridane,28.6585,-17.9182,74.95,90,20,5.01,ES,2022-09-11 18:00:27,few clouds
19,Ribeira Grande,38.5167,-28.7,73.8,73,75,21.85,PT,2022-09-11 18:00:27,broken clouds
20,Yerbogachen,61.2767,108.0108,42.67,86,80,5.37,RU,2022-09-11 18:00:27,broken clouds
